Date,AMZN-Close/Last,AMZN-Volume,AMZN-Open,AMZN-High,AMZN-Low,AAL-Close/Last,AAL-Volume,AAL-Open,AAL-High,AAL-Low,MAR-Close/Last,MAR-Volume,MAR-Open,MAR-High,MAR-Low,NFLX-Close/Last,NFLX-Volume,NFLX-Open,NFLX-High,NFLX-Low
07/27/2020,3055.21,4170492,3062,3098,3015.77,11.39,69451720,11.48,11.7938,11.18,86.27,2675842,86.11,87.135,85.2,495.65,7863069,484.51,496.92,482.31
07/24/2020,3008.91,5632413,2930,3031.58,2888,11.39,53761420,11.67,11.82,11.34,87.5,2369546,88.89,88.89,86.57,480.45,7746247,468.77,487.17,467.54
07/23/2020,2986.55,5656906,3098.2713,3098.2713,2970,11.77,115574800,11.27,12.41,11.01,88.97,2564106,89.91,90.2,87.92,477.58,7722034,491.13,491.9,472.0201
07/22/2020,3099.91,4104225,3125,3149.9999,3065.26,11.36,42461300,11.38,11.67,11.3,90.81,1741359,89.07,90.96,88.81,489.82,6954078,492.19,497.2,487.2
07/21/2020,3138.29,6134965,3232.49,3240.5758,3105.72,11.47,64721990,11.57,11.79,11.28,89.96,2443338,89.67,91.5,88.5,490.1,9127218,506,506.22,488.61
07/20/2020,3196.84,7598176,3000.2,3201.3599,2994.0172,11.47,64109610,11.93,12.51,11.35,88.48,3052426,90.64,91.63,87.57,502.41,11940310,489.14,504.5,484.2001
07/17/2020,2961.97,4761319,3009,3024,2948.45,11.91,67934120,12.48,12.6,11.89,91.48,2329687,93.03,93.1,90.1,492.99,24991350,494.87,503.59,484.14
07/16/2020,2999.9,6394246,2971.06,3032,2918.23,12.45,81513990,12.8,13.07,12.29,93.11,2483978,92.13,93.43,90.7627,527.39,24498990,526.48,535.54,504.3627
07/15/2020,3008.87,5788874,3080.23,3098.35,2973.1801,13.44,135444400,12.45,13.48,12.21,94.03,6761443,90.23,94.75,90.16,523.26,10066650,516.3,529,510.18
07/14/2020,3084,7231933,3089,3127.38,2950,11.57,49888210,11.32,11.84,11.215,87.12,3063535,87,87.73,86,524.88,15083300,517.08,525.5,490.49
07/13/2020,3104,7720420,3251.06,3344.29,3068.3901,11.63,67580250,12.13,12.27,11.4501,87.5,3955135,89.07,90.54,87.31,525.5,18399020,567.98,575.37,520.96
07/10/2020,3200,5485982,3191.76,3215,3135.7,11.94,90450830,11,11.95,10.98,88.51,3246396,85.86,88.61,85.5,548.73,21605590,519.73,555.8799,511.28
07/09/2020,3182.63,6388659,3115.99,3193.8799,3074.0016,11.18,77131190,11.94,11.94,11.15,86.25,5263545,90.22,90.28,86,507.76,5840541,508.4,510,495.78
07/08/2020,3081.11,5037635,3022.61,3083.97,3012.4301,11.99,85034480,11.6,12.08,11.43,89.99,3407632,87.29,90.03,86.49,502.78,5691682,498.576,505.1,493.81
07/07/2020,3000.12,5257514,3058.55,3069.55,2990,11.91,77998110,12.51,12.54,11.91,87.43,2993873,88.63,88.9795,87.08,493.16,5669870,497.311,504.82,490.83
07/06/2020,3057.04,6880642,2934.97,3059.88,2930,12.8,79312920,12.8,12.92,12.21,89.83,3138232,89.657,90.34,87.12,493.81,7838990,480.77,499.5,479.8
07/02/2020,2890.3,6593387,2912.01,2955.56,2871.1021,12.5,86439530,13.35,13.42,12.42,87.8,3877406,89.7,90.23,86.26,476.89,6351485,485.64,492.28,475.5258
07/01/2020,2878.7,6363439,2757.99,2895,2754,12.81,116661700,13.48,14.29,12.631,86.62,5708185,86.67,90.5,86.33,485.64,9705870,454,488.23,454
06/30/2020,2758.82,3769686,2685.065,2769.63,2675.03,13.07,69607730,13.1,13.48,12.88,85.73,4343105,85.41,86.9199,84,455.04,4198545,450.02,457.59,447
06/29/2020,2680.38,4223422,2690.01,2696.8,2630.08,13.32,115051100,12.57,13.51,12.02,86.6,5132982,81.53,86.61,80.26,447.24,4843978,445.23,447.67,432.14
06/26/2020,2692.87,6500784,2775.056,2782.5688,2688,12.38,108813000,13.2,13.285,12.13,80.94,10150240,83.55,83.95,80.3994,443.4,6804726,466.39,468.03,442.24
